Participant,x,y,x0,y0,CalPoint
7,1030,220,909,841,3
7,1030,220,906,847,3
7,1030,220,903,840,3
7,1030,220,901,847,3
7,1030,220,904,841,3
7,1030,220,902,847,3
7,1030,220,908,837,3
7,1030,220,1284,247,3
7,1030,220,1284,243,3
7,1030,220,1291,240,3
7,1030,220,1292,242,3
7,1030,220,1289,242,3
7,1030,220,1293,237,3
7,1030,220,1279,233,3
7,1030,220,1290,241,3
7,1030,220,1286,244,3
7,1030,220,1290,236,3
7,1030,220,1293,239,3
7,1030,220,1293,241,3
7,1030,220,1287,236,3
7,1030,220,1288,238,3
7,1030,220,1284,245,3
7,1030,220,1285,247,3
7,1030,220,1285,249,3
7,1030,220,1288,252,3
7,1030,220,1285,254,3
7,1030,220,1281,251,3
7,1030,220,1281,257,3
7,1030,220,1290,253,3
7,1030,220,1288,255,3
7,1030,220,1283,257,3
7,1030,220,1285,257,3
7,1030,220,1285,256,3
7,1030,220,1285,250,3
7,1030,220,1287,253,3
7,1030,220,1281,257,3
7,1030,220,1284,258,3
7,1030,220,1287,257,3
7,1030,220,1282,256,3
7,1030,220,1278,255,3
7,1030,220,1279,258,3
7,1030,220,1283,256,3
7,1030,220,1282,262,3
7,1030,220,1281,259,3
7,1030,220,1282,264,3
7,1030,220,1288,260,3
7,1030,220,1274,262,3
7,1030,220,1285,252,3
7,1030,220,1280,252,3
7,1030,220,1275,249,3
7,1030,220,1278,250,3
7,1030,220,1277,254,3
7,1030,220,1276,252,3
7,1030,220,1274,249,3
7,1030,220,1278,252,3
7,1030,220,1275,253,3
7,1030,220,1282,251,3
7,1030,220,1285,256,3
7,1030,220,1278,258,3
7,1030,220,1280,258,3
7,1030,220,1277,261,3
7,1030,220,1284,255,3
7,1030,220,1283,254,3
7,1030,220,1282,254,3
7,1030,220,1283,258,3
7,1030,220,1282,261,3
7,1030,220,1281,255,3
7,1030,220,1275,259,3
7,1030,220,1270,260,3
7,1030,220,1271,270,3
7,1030,220,1276,262,3
7,1030,220,1278,267,3
7,1030,220,1281,263,3
7,1030,220,1283,264,3
7,1030,220,1277,267,3
7,1030,220,1270,260,3
7,1030,220,1269,270,3
7,1030,220,1266,267,3
7,1030,220,1271,273,3
7,1030,220,1269,273,3
7,1030,220,1265,274,3
7,1030,220,1274,273,3
7,1030,220,1276,269,3
7,1030,220,1268,276,3
7,1030,220,1276,272,3
7,1030,220,1277,269,3
7,1030,220,1283,267,3
7,1030,220,1276,274,3
7,1030,220,1276,268,3
7,1030,220,1270,271,3
7,1030,220,1268,272,3
7,1030,220,1266,277,3
7,1030,220,1266,278,3
7,1030,220,1268,281,3
7,1030,220,1262,280,3
7,1030,220,1266,273,3
7,1030,220,1267,265,3
